install_id,test_id,test_name,variant,variant_label,install_date,channel,device_os,cpi_zar,ltv_zar,retention_d1,retention_d7,retention_d30,booked_in_app
AB3_002010,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-29,Google UAC,ios,23.16,2157.3,0.404,0.296,0.215,False
AB3_002011,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-07,Meta Ads,android,13.51,1919.5,0.552,0.383,0.237,False
AB3_002012,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-18,Meta Ads,android,21.38,1458.72,0.448,0.291,0.208,False
AB3_002013,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-26,Meta Ads,android,12.81,2258.1,0.518,0.31,0.221,False
AB3_002014,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-19,Google UAC,ios,28.87,2360.07,0.469,0.33,0.17,False
AB3_002015,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-09,Google UAC,ios,14.46,2700.96,0.496,0.338,0.296,False
AB3_002016,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-26,Google UAC,android,25.49,1318.32,0.427,0.272,0.227,False
AB3_002017,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-02,TikTok Ads,ios,15.95,1230.88,0.461,0.371,0.246,False
AB3_002018,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-01,Google UAC,ios,28.97,1756.41,0.426,0.259,0.196,False
AB3_002019,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-28,TikTok Ads,android,21.89,2272.63,0.551,0.336,0.187,True
AB3_002020,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-09,Meta Ads,android,23.34,1988.55,0.411,0.295,0.189,False
AB3_002021,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-13,TikTok Ads,ios,17.39,2259.65,0.517,0.378,0.119,False
AB3_002022,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-28,Meta Ads,ios,28.44,2589.79,0.419,0.235,0.206,False
AB3_002023,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-05,Google UAC,android,16.89,1692.22,0.384,0.36,0.174,False
AB3_002024,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-24,Google UAC,android,29.37,548.81,0.43,0.304,0.158,False
AB3_002025,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-18,Google UAC,android,18.15,1977.18,0.494,0.223,0.278,True
AB3_002026,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-05,TikTok Ads,ios,21.25,2189.82,0.472,0.403,0.192,False
AB3_002027,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-22,Google UAC,ios,18.35,2034.15,0.528,0.327,0.275,False
AB3_002028,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-16,Google UAC,android,27.86,1173.46,0.461,0.284,0.194,False
AB3_002029,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-01,Meta Ads,android,18.4,2106.52,0.422,0.269,0.356,False
AB3_002030,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-07,Meta Ads,android,24.64,1335.97,0.536,0.213,0.221,False
AB3_002031,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-11,Meta Ads,android,22.66,3011.36,0.443,0.308,0.236,False
AB3_002032,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-10,Google UAC,android,17.19,1825.48,0.468,0.216,0.135,False
AB3_002033,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-05,Google UAC,ios,15.77,2003.03,0.436,0.323,0.274,False
AB3_002034,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-07,Meta Ads,android,22.87,2797.69,0.55,0.244,0.218,False
AB3_002035,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-09,Meta Ads,android,24.66,1686.16,0.499,0.267,0.249,False
AB3_002036,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-28,Meta Ads,android,20.7,2540.63,0.369,0.269,0.19,False
AB3_002037,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-01,Google UAC,android,24.02,1647.43,0.396,0.342,0.293,False
AB3_002038,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-24,Meta Ads,ios,20.98,1695.92,0.426,0.367,0.146,False
AB3_002039,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-15,Meta Ads,android,20.24,2771.01,0.506,0.293,0.251,False
AB3_002040,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-08,TikTok Ads,android,17.52,1600.63,0.474,0.316,0.233,False
AB3_002041,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-08,Meta Ads,ios,21.89,2568.99,0.555,0.287,0.284,False
AB3_002042,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-05,Meta Ads,android,24.99,3086.96,0.427,0.265,0.21,False
AB3_002043,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-24,Google UAC,ios,11.07,2324.34,0.443,0.341,0.214,False
AB3_002044,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-18,Meta Ads,ios,30.8,1488.97,0.461,0.31,0.21,False
AB3_002045,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-21,Google UAC,android,23.65,3458.64,0.527,0.307,0.181,True
AB3_002046,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-21,Meta Ads,android,26.85,1125.75,0.424,0.313,0.132,True
AB3_002047,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-07,Google UAC,android,26.02,2179.13,0.455,0.224,0.252,False
AB3_002048,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-13,TikTok Ads,ios,26.04,1319.52,0.591,0.242,0.141,False
AB3_002049,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-19,TikTok Ads,android,14.53,1852.74,0.457,0.407,0.263,False
AB3_002050,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-23,Meta Ads,ios,23.87,1136.36,0.321,0.215,0.238,False
AB3_002051,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-24,TikTok Ads,android,20.02,2415.13,0.456,0.332,0.186,False
AB3_002052,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-10,Google UAC,android,22.69,2083.61,0.549,0.197,0.14,False
AB3_002053,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-30,TikTok Ads,android,10.78,2163.15,0.455,0.414,0.226,False
AB3_002054,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-24,Meta Ads,ios,23.68,2339.8,0.435,0.303,0.183,False
AB3_002055,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-16,Meta Ads,ios,24.78,1682.83,0.548,0.385,0.242,False
AB3_002056,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-31,TikTok Ads,android,19.32,2534.3,0.391,0.247,0.28,False
AB3_002057,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-24,Meta Ads,ios,23.22,3006.12,0.462,0.255,0.214,False
AB3_002058,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-04,Meta Ads,ios,23.32,2863.77,0.448,0.301,0.176,False
AB3_002059,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-30,Meta Ads,ios,22.78,2000.56,0.595,0.325,0.274,True
AB3_002060,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-22,Google UAC,android,20.21,2253.54,0.341,0.222,0.176,False
AB3_002061,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-08,Meta Ads,android,18.45,1598.82,0.502,0.368,0.243,False
AB3_002062,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-02,TikTok Ads,android,32.85,1333.74,0.393,0.387,0.215,False
AB3_002063,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-23,Google UAC,android,23.49,2849.38,0.48,0.395,0.245,False
AB3_002064,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-14,TikTok Ads,android,17.5,1390.47,0.358,0.245,0.201,False
AB3_002065,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-15,Meta Ads,android,20.67,2195.57,0.448,0.357,0.282,False
AB3_002066,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-23,Meta Ads,android,21.62,3413.16,0.405,0.258,0.278,False
AB3_002067,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-20,Google UAC,ios,21.43,2768.88,0.484,0.395,0.275,False
AB3_002068,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-11,Google UAC,ios,20.1,1799.53,0.51,0.243,0.245,False
AB3_002069,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-22,Meta Ads,android,21.19,2604.97,0.452,0.252,0.246,False
AB3_002070,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-19,Google UAC,android,31.43,1825.73,0.38,0.233,0.224,False
AB3_002071,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-27,Google UAC,android,21.62,2338.73,0.41,0.365,0.266,True
AB3_002072,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-17,Google UAC,android,23.64,2594.84,0.439,0.228,0.211,False
AB3_002073,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-07,Meta Ads,android,29.26,3044.84,0.489,0.347,0.218,False
AB3_002074,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-22,Google UAC,android,16.98,2225.0,0.424,0.267,0.175,False
AB3_002075,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-03,Google UAC,android,16.15,1023.47,0.612,0.367,0.22,False
AB3_002076,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-02,Meta Ads,android,25.34,2136.69,0.454,0.232,0.211,False
AB3_002077,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-23,Meta Ads,android,21.72,2754.12,0.536,0.369,0.237,False
AB3_002078,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-11,TikTok Ads,android,21.29,2069.44,0.346,0.228,0.184,False
AB3_002079,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-18,Meta Ads,android,18.24,2218.81,0.526,0.363,0.265,False
AB3_002080,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-22,TikTok Ads,android,22.1,1992.78,0.45,0.27,0.239,False
AB3_002081,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-06,Meta Ads,android,15.56,3070.31,0.452,0.35,0.257,False
AB3_002082,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-17,Google UAC,ios,24.63,2220.0,0.401,0.311,0.123,False
AB3_002083,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-07,TikTok Ads,ios,23.06,2011.15,0.496,0.404,0.214,False
AB3_002084,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-23,Google UAC,ios,27.02,2194.95,0.332,0.369,0.168,False
AB3_002085,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-30,Google UAC,android,18.51,1338.8,0.506,0.317,0.227,False
AB3_002086,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-08,Meta Ads,android,27.99,2290.28,0.437,0.267,0.163,False
AB3_002087,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-13,Meta Ads,android,18.38,2464.55,0.49,0.265,0.258,False
AB3_002088,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-29,Meta Ads,android,25.62,1756.76,0.364,0.264,0.156,False
AB3_002089,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-27,Meta Ads,ios,21.76,2546.61,0.539,0.307,0.2,False
AB3_002090,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-07,Google UAC,android,24.43,1862.61,0.365,0.249,0.115,False
AB3_002091,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-02,TikTok Ads,ios,18.11,3364.41,0.458,0.323,0.186,False
AB3_002092,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-08,Google UAC,android,35.06,1333.17,0.447,0.407,0.072,False
AB3_002093,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-17,Google UAC,android,16.46,2370.42,0.435,0.313,0.247,False
AB3_002094,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-04,Meta Ads,ios,24.21,3241.2,0.326,0.328,0.168,False
AB3_002095,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-27,Meta Ads,ios,12.9,2950.83,0.559,0.4,0.223,False
AB3_002096,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-03,Meta Ads,android,23.63,2113.97,0.366,0.395,0.257,False
AB3_002097,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-31,TikTok Ads,android,17.54,2953.14,0.525,0.366,0.205,False
AB3_002098,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-29,Google UAC,android,19.86,1836.82,0.481,0.215,0.171,False
AB3_002099,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-22,Google UAC,android,17.56,2097.82,0.44,0.317,0.314,False
AB3_002100,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-23,Google UAC,android,20.37,3264.39,0.432,0.263,0.185,False
AB3_002101,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-28,Google UAC,android,15.78,3223.41,0.394,0.376,0.169,False
AB3_002102,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-08,Meta Ads,android,23.12,1689.15,0.401,0.316,0.227,False
AB3_002103,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-23,Google UAC,android,22.49,1574.8,0.481,0.325,0.166,False
AB3_002104,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-06,TikTok Ads,ios,19.62,1826.85,0.337,0.201,0.181,False
AB3_002105,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-07,Meta Ads,android,19.66,2417.02,0.389,0.294,0.143,False
AB3_002106,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-15,Google UAC,android,25.54,1473.04,0.464,0.314,0.216,False
AB3_002107,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-16,Meta Ads,android,17.71,1401.3,0.487,0.32,0.203,False
AB3_002108,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-20,TikTok Ads,ios,23.29,1890.83,0.333,0.298,0.175,False
AB3_002109,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-12,Google UAC,android,14.22,1525.21,0.407,0.363,0.177,False
AB3_002110,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-20,Meta Ads,android,25.33,1190.13,0.566,0.275,0.113,False
AB3_002111,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-11,TikTok Ads,android,22.62,3068.1,0.477,0.341,0.236,False
AB3_002112,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-23,Google UAC,android,17.59,1553.9,0.319,0.263,0.14,False
AB3_002113,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-27,Meta Ads,ios,15.59,3102.21,0.454,0.359,0.241,False
AB3_002114,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-11,Google UAC,android,28.7,1822.16,0.504,0.305,0.098,False
AB3_002115,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-10,Google UAC,android,22.98,1315.58,0.496,0.353,0.188,False
AB3_002116,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-15,Meta Ads,android,13.19,1971.45,0.451,0.189,0.195,False
AB3_002117,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-07,Google UAC,ios,16.61,1494.15,0.517,0.329,0.333,False
AB3_002118,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-11,TikTok Ads,ios,30.29,2320.76,0.517,0.267,0.18,False
AB3_002119,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-26,Meta Ads,android,22.1,1869.97,0.541,0.356,0.196,False
AB3_002120,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-15,Meta Ads,ios,17.25,764.05,0.378,0.257,0.154,False
AB3_002121,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-06,TikTok Ads,android,24.29,2127.87,0.46,0.237,0.218,False
AB3_002122,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-01,Meta Ads,ios,35.86,3416.86,0.428,0.257,0.232,False
AB3_002123,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-27,Meta Ads,android,16.67,745.65,0.494,0.33,0.24,False
AB3_002124,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-08,TikTok Ads,ios,30.79,1565.53,0.433,0.303,0.209,False
AB3_002125,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-31,Google UAC,android,19.27,2421.43,0.511,0.35,0.209,True
AB3_002126,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-05,TikTok Ads,android,20.91,1457.28,0.463,0.303,0.172,False
AB3_002127,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-18,TikTok Ads,android,14.91,3039.65,0.562,0.398,0.177,False
AB3_002128,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-25,Meta Ads,android,16.92,1110.49,0.487,0.297,0.101,False
AB3_002129,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-12,Meta Ads,ios,18.32,2268.62,0.617,0.294,0.181,False
AB3_002130,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-29,TikTok Ads,ios,29.39,2883.34,0.474,0.291,0.185,False
AB3_002131,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-06,Meta Ads,ios,13.66,1779.21,0.607,0.405,0.258,False
AB3_002132,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-18,Meta Ads,android,22.28,1963.13,0.381,0.19,0.158,False
AB3_002133,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-20,Meta Ads,ios,20.0,2137.23,0.488,0.285,0.195,False
AB3_002134,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-14,Google UAC,ios,29.57,1775.67,0.41,0.268,0.186,False
AB3_002135,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-05,Meta Ads,android,18.25,2342.68,0.543,0.313,0.255,False
AB3_002136,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-28,Meta Ads,android,25.41,1969.83,0.289,0.276,0.172,False
AB3_002137,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-10,Meta Ads,android,22.25,1086.16,0.572,0.373,0.204,True
AB3_002138,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-27,Meta Ads,ios,27.07,2289.7,0.331,0.239,0.154,False
AB3_002139,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-10,Meta Ads,ios,17.08,3282.92,0.518,0.357,0.221,False
AB3_002140,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-02,Google UAC,ios,19.25,875.65,0.427,0.194,0.211,False
AB3_002141,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-13,Meta Ads,ios,26.43,2534.66,0.553,0.32,0.316,False
AB3_002142,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-22,Meta Ads,ios,28.02,2102.59,0.439,0.302,0.164,False
AB3_002143,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-24,Meta Ads,android,15.6,2217.93,0.43,0.414,0.251,False
AB3_002144,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-14,Google UAC,ios,26.85,2065.9,0.393,0.286,0.205,False
AB3_002145,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-30,Meta Ads,ios,19.96,2248.59,0.517,0.342,0.218,True
AB3_002146,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-18,Google UAC,ios,31.11,2265.06,0.329,0.218,0.171,False
AB3_002147,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-23,Google UAC,ios,20.19,1360.07,0.509,0.4,0.193,False
AB3_002148,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-15,TikTok Ads,ios,24.62,2949.31,0.399,0.298,0.216,False
AB3_002149,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-06,Google UAC,android,15.03,1917.49,0.567,0.266,0.19,False
AB3_002150,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-13,Google UAC,android,26.57,2841.45,0.406,0.331,0.169,False
AB3_002151,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-12,Meta Ads,android,15.91,2560.82,0.544,0.451,0.24,False
AB3_002152,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-12,Meta Ads,ios,20.8,2172.21,0.421,0.285,0.182,False
AB3_002153,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-14,Google UAC,android,21.99,2223.1,0.507,0.26,0.178,False
AB3_002154,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-15,Meta Ads,android,26.45,1203.9,0.44,0.295,0.196,False
AB3_002155,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-12,TikTok Ads,android,19.62,1903.38,0.534,0.31,0.179,False
AB3_002156,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-18,Meta Ads,ios,29.92,2029.8,0.502,0.298,0.126,False
AB3_002157,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-14,Meta Ads,android,19.51,2729.39,0.548,0.251,0.28,False
AB3_002158,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-21,Google UAC,android,29.85,1414.93,0.425,0.273,0.204,False
AB3_002159,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-22,Meta Ads,android,23.37,2710.79,0.417,0.329,0.188,False
AB3_002160,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-25,Meta Ads,ios,26.26,1945.21,0.368,0.316,0.226,False
AB3_002161,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-24,TikTok Ads,android,21.12,1829.3,0.487,0.344,0.277,False
AB3_002162,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-24,Google UAC,ios,23.03,2424.31,0.465,0.26,0.109,False
AB3_002163,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-22,Meta Ads,android,19.25,2055.79,0.499,0.32,0.195,False
AB3_002164,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-05,Meta Ads,ios,19.88,2067.67,0.51,0.33,0.21,False
AB3_002165,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-19,Meta Ads,android,18.67,3049.95,0.53,0.317,0.234,False
AB3_002166,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-18,Meta Ads,ios,26.88,1561.36,0.439,0.333,0.157,False
AB3_002167,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-29,Google UAC,ios,14.9,2337.24,0.5,0.332,0.259,False
AB3_002168,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-29,Google UAC,android,28.52,2135.2,0.4,0.309,0.144,False
AB3_002169,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-21,Meta Ads,ios,15.6,2451.94,0.523,0.255,0.214,False
AB3_002170,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-28,TikTok Ads,android,25.9,2688.6,0.443,0.165,0.124,False
AB3_002171,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-17,Meta Ads,android,16.87,2484.49,0.533,0.333,0.201,False
AB3_002172,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-22,TikTok Ads,android,27.22,1583.39,0.364,0.264,0.189,False
AB3_002173,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-27,Meta Ads,android,20.44,1735.28,0.513,0.342,0.267,False
AB3_002174,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-25,Google UAC,ios,26.07,1664.6,0.399,0.273,0.156,True
AB3_002175,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-06,TikTok Ads,android,22.18,2446.64,0.457,0.375,0.27,False
AB3_002176,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-09,Meta Ads,android,25.64,1612.08,0.349,0.332,0.15,False
AB3_002177,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-09,Meta Ads,android,17.31,3618.32,0.48,0.375,0.218,False
AB3_002178,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-08,Google UAC,android,29.94,2418.41,0.403,0.225,0.16,False
AB3_002179,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-17,Google UAC,android,18.89,2693.45,0.496,0.318,0.258,False
AB3_002180,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-13,Meta Ads,android,24.86,1223.29,0.399,0.272,0.105,False
AB3_002181,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-17,TikTok Ads,ios,15.87,1611.62,0.502,0.26,0.245,False
AB3_002182,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-21,Meta Ads,ios,26.39,2427.29,0.388,0.275,0.157,False
AB3_002183,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-28,Meta Ads,ios,20.49,1468.59,0.489,0.308,0.223,False
AB3_002184,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-19,Google UAC,ios,26.21,2406.98,0.371,0.23,0.161,False
AB3_002185,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-06-18,TikTok Ads,android,16.61,2495.71,0.372,0.338,0.257,False
AB3_002186,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-10,TikTok Ads,android,17.87,1500.21,0.433,0.326,0.196,False
AB3_002187,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-21,Google UAC,android,18.57,1538.53,0.477,0.374,0.246,False
AB3_002188,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-11,Google UAC,android,21.26,1011.95,0.456,0.35,0.224,False
AB3_002189,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-05,Google UAC,android,14.21,3452.49,0.581,0.291,0.212,False
AB3_002190,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-19,Google UAC,android,22.97,2143.63,0.422,0.243,0.155,False
AB3_002191,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-07,TikTok Ads,android,23.2,1855.06,0.544,0.276,0.305,False
AB3_002192,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-16,Meta Ads,android,24.29,2407.11,0.513,0.173,0.204,False
AB3_002193,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-12,Google UAC,android,16.66,1764.16,0.425,0.48,0.282,False
AB3_002194,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-20,TikTok Ads,ios,18.7,1465.23,0.288,0.261,0.158,False
AB3_002195,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-19,Google UAC,android,17.42,466.71,0.449,0.341,0.243,False
AB3_002196,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-31,Meta Ads,android,28.72,1375.4,0.425,0.221,0.185,False
AB3_002197,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-13,TikTok Ads,android,11.92,2180.83,0.556,0.303,0.192,False
AB3_002198,AB-003,App Install Creative,A,Generic CTA (Control),2026-06-11,Google UAC,ios,23.36,1642.48,0.399,0.287,0.197,False
AB3_002199,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-06,Meta Ads,ios,19.49,2294.85,0.483,0.376,0.18,False
AB3_002200,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-26,Google UAC,android,21.55,1542.34,0.325,0.236,0.169,False
AB3_002201,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-30,TikTok Ads,android,16.74,1990.32,0.585,0.279,0.241,False
AB3_002202,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-30,Google UAC,ios,17.68,1203.09,0.391,0.242,0.159,False
